Time: 7892ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 7895ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 7897ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 8114ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 8117ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 8120ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 8336ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 8339ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 8343ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 8560ms |  Marker 6: moved from 0 to 1 | use transition 0
Time: 8563ms |  Marker 7: moved from 2 to 0 | use transition 2
Time: 8565ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 8780ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 8783ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 8786ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 9001ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 9004ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 9005ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 9225ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 9227ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 9229ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 9449ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 9452ms |  Marker 2: moved from 2 to 0 | use transition 2
Time: 9454ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 9679ms |  Marker 7: moved from 0 to 1 | use transition 0
Time: 9682ms |  Marker 1: moved from 2 to 0 | use transition 2
Time: 9686ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 9901ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 9903ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 9905ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 10127ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 10129ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 10132ms |  Marker 3: moved from 1 to 2 | use transition 1
Time: 10348ms |  Marker 10: moved from 0 to 1 | use transition 0
Time: 10351ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 10354ms |  Marker 7: moved from 1 to 2 | use transition 1
Time: 10566ms |  Marker 6: moved from 2 to 0 | use transition 2
Time: 10568ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 10785ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 10787ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 10789ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 11005ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 11009ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 11014ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 11229ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 11232ms |  Marker 7: moved from 2 to 0 | use transition 2
Time: 11234ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 11453ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 11455ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 11458ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 11675ms |  Marker 5: moved from 2 to 0 | use transition 2
Time: 11678ms |  Marker 6: moved from 0 to 1 | use transition 0
Time: 11681ms |  Marker 2: moved from 1 to 2 | use transition 1
Time: 11898ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 11900ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 11901ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 12120ms |  Marker 1: moved from 2 to 0 | use transition 2
Time: 12123ms |  Marker 8: moved from 1 to 2 | use transition 1
Time: 12126ms |  Marker 3: moved from 0 to 1 | use transition 0
Time: 12341ms |  Marker 7: moved from 0 to 1 | use transition 0
Time: 12344ms |  Marker 2: moved from 2 to 0 | use transition 2
Time: 12346ms |  Marker 9: moved from 1 to 2 | use transition 1
Time: 12562ms |  Marker 10: moved from 0 to 1 | use transition 0
Time: 12564ms |  Marker 11: moved from 2 to 0 | use transition 2
Time: 12566ms |  Marker 4: moved from 1 to 2 | use transition 1
Time: 12784ms |  Marker 5: moved from 0 to 1 | use transition 0
Time: 12787ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 12789ms |  Marker 6: moved from 1 to 2 | use transition 1
Time: 13004ms |  Marker 11: moved from 0 to 1 | use transition 0
Time: 13007ms |  Marker 10: moved from 1 to 2 | use transition 1
Time: 13010ms |  Marker 8: moved from 2 to 0 | use transition 2
Time: 13227ms |  Marker 1: moved from 0 to 1 | use transition 0
Time: 13229ms |  Marker 3: moved from 1 to 2 | use transition 1
Time: 13231ms |  Marker 4: moved from 2 to 0 | use transition 2
Time: 13447ms |  Marker 7: moved from 1 to 2 | use transition 1
Time: 13450ms |  Marker 0: moved from 0 to 1 | use transition 0
Time: 13452ms |  Marker 6: moved from 2 to 0 | use transition 2
Time: 13667ms |  Marker 9: moved from 2 to 0 | use transition 2
Time: 13675ms |  Marker 2: moved from 0 to 1 | use transition 0
Time: 13677ms |  Marker 0: moved from 1 to 2 | use transition 1
Time: 13898ms |  Marker 3: moved from 2 to 0 | use transition 2
Time: 13900ms |  Marker 8: moved from 0 to 1 | use transition 0
Time: 13902ms |  Marker 5: moved from 1 to 2 | use transition 1
Time: 14122ms |  Marker 11: moved from 1 to 2 | use transition 1
Time: 14123ms |  Marker 10: moved from 2 to 0 | use transition 2
Time: 14126ms |  Marker 4: moved from 0 to 1 | use transition 0
Time: 14342ms |  Marker 6: moved from 0 to 1 | use transition 0
Time: 14345ms |  Marker 1: moved from 1 to 2 | use transition 1
Time: 14347ms |  Marker 7: moved from 2 to 0 | use transition 2
Time: 14563ms |  Marker 0: moved from 2 to 0 | use transition 2
Time: 14565ms |  Marker 9: moved from 0 to 1 | use transition 0
Time: 14567ms |  Marker 2: moved from 1 to 2 | use transition 1
